T,H
0.65811, 0
1.8508, 0
3.0435, 0
4.2362, 0
5.4289, 0
6.6216, 0
7.8143, 0
9.0070, 0
10.200, 0
11.392, 0
12.585, 0
13.778, 0
14.971, 0
16.163, 0
17.356, 0.0014386
18.549, 0.0044029
19.741, 0.0096796
20.934, 0.016848
22.127, 0.026435
23.320, 0.038859
24.512, 0.053071
25.705, 0.070330
26.898, 0.090113
28.090, 0.11242
29.229, 0.13570
30.313, 0.15965
31.397, 0.18511
32.427, 0.21108
33.403, 0.23666
34.379, 0.26366
35.301, 0.28967
36.168, 0.31542
37.036, 0.34159
37.849, 0.36642
38.662, 0.39221
39.529, 0.41997
40.343, 0.44625
41.102, 0.47137
41.861, 0.49649
42.620, 0.52177
43.379, 0.54756
44.138, 0.57317
44.897, 0.59895
45.656, 0.62506
46.415, 0.65085
47.174, 0.67679
47.933, 0.70257
48.692, 0.72819
49.451, 0.75397
50.210, 0.78008
50.969, 0.80586
51.728, 0.83181
52.487, 0.85726
53.246, 0.88238
54.005, 0.90750
54.764, 0.93229
55.577, 0.95906
56.444, 0.98683
57.312, 1.0143
58.125, 1.0395
58.938, 1.0649
59.805, 1.0914
60.673, 1.1176
61.540, 1.1432
62.408, 1.1686
63.275, 1.1935
64.197, 1.2194
65.173, 1.2466
66.148, 1.2728
67.124, 1.2986
68.100, 1.3239
69.076, 1.3486
70.052, 1.3726
71.082, 1.3974
72.166, 1.4229
73.250, 1.4480
74.389, 1.4728
75.582, 1.4982
76.774, 1.5234
77.967, 1.5471
79.160, 1.5702
80.352, 1.5926
81.545, 1.6140
82.738, 1.6347
83.931, 1.6547
85.123, 1.6739
86.316, 1.6925
87.509, 1.7105
88.701, 1.7274
89.894, 1.7439
91.087, 1.7598
92.280, 1.7749
93.472, 1.7895
94.665, 1.8034
95.858, 1.8168
97.050, 1.8299
98.243, 1.8417
99.436, 1.8536
100.63, 1.8651
101.82, 1.8756
103.01, 1.8859
104.21, 1.8960
105.40, 1.9053
106.59, 1.9143
107.78, 1.9231
108.98, 1.9311
110.17, 1.9391
111.36, 1.9465
112.56, 1.9537
113.75, 1.9606
114.94, 1.9672
116.13, 1.9732
117.33, 1.9793
118.52, 1.9847
119.71, 1.9902
120.90, 1.9955
122.10, 2.0002
123.29, 2.0049
124.48, 2.0092
125.68, 2.0134
126.87, 2.0176
128.06, 2.0213
129.25, 2.0250
130.45, 2.0284
131.64, 2.0317
132.83, 2.0347
134.02, 2.0379
135.22, 2.0406
136.41, 2.0433
137.60, 2.0458
138.80, 2.0482
139.99, 2.0505
141.18, 2.0527
142.37, 2.0548
143.57, 2.0567
144.76, 2.0587
145.95, 2.0605
147.14, 2.0621
148.34, 2.0637
149.53, 2.0654
150.72, 2.0666
151.91, 2.0680
153.11, 2.0693
154.30, 2.0706
155.49, 2.0717
156.69, 2.0729
157.88, 2.0739
159.07, 2.0749
160.26, 2.0757
161.46, 2.0767
162.65, 2.0777
163.84, 2.0783
165.03, 2.0791
166.23, 2.0801
167.42, 2.0803
168.61, 2.0815
169.81, 2.0817
171.00, 2.0827
172.19, 2.0827
173.38, 2.0838
174.58, 2.0839
175.77, 2.0845
176.96, 2.0851
178.15, 2.0851
179.35, 2.0860
180.54, 2.0863
181.73, 2.0863
182.93, 2.0868
184.12, 2.0875
185.31, 2.0875
186.50, 2.0876
187.70, 2.0877
188.89, 2.0888
190.08, 2.0888
191.27, 2.0888
192.47, 2.0888
193.66, 2.0888
194.85, 2.0900
196.04, 2.0900
197.24, 2.0901
198.43, 2.0901
199.46, 2.0901
